Time,Population,Organism,ID,Pathogens,Protection,Alive
53.20435219195912,my_population,Host,my_population_32,"","",True
53.20435219195912,my_population,Host,my_population_33,"BADD/BEST/BADD/BEST;BEST/BADD/BEST/BADD","",True
53.20435219195912,my_population,Host,my_population_34,"","",True
53.20435219195912,my_population,Host,my_population_35,"","",True
53.20435219195912,my_population,Host,my_population_36,"","",True
53.20435219195912,my_population,Host,my_population_37,"","",True
53.20435219195912,my_population,Host,my_population_38,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_39,"","",True
53.20435219195912,my_population,Host,my_population_40,"","",True
53.20435219195912,my_population,Host,my_population_41,"","",True
53.20435219195912,my_population,Host,my_population_42,"","",True
53.20435219195912,my_population,Host,my_population_43,"","",True
53.20435219195912,my_population,Host,my_population_44,"","",True
53.20435219195912,my_population,Host,my_population_45,"","",True
53.20435219195912,my_population,Host,my_population_46,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_47,"","",True
53.20435219195912,my_population,Host,my_population_48,"","",True
53.20435219195912,my_population,Host,my_population_49,"","",True
53.20435219195912,my_population,Host,my_population_50,"","",True
53.20435219195912,my_population,Host,my_population_51,"","",True
53.20435219195912,my_population,Host,my_population_52,"","",True
53.20435219195912,my_population,Host,my_population_53,"","",True
53.20435219195912,my_population,Host,my_population_54,"","",True
53.20435219195912,my_population,Host,my_population_55,"","",True
53.20435219195912,my_population,Host,my_population_56,"","",True
53.20435219195912,my_population,Host,my_population_57,"","",True
53.20435219195912,my_population,Host,my_population_58,"","",True
53.20435219195912,my_population,Host,my_population_59,"","",True
53.20435219195912,my_population,Host,my_population_60,"","",True
53.20435219195912,my_population,Host,my_population_61,"","",True
53.20435219195912,my_population,Host,my_population_62,"","",True
53.20435219195912,my_population,Host,my_population_63,"","",True
53.20435219195912,my_population,Host,my_population_64,"","",True
53.20435219195912,my_population,Host,my_population_65,"","",True
53.20435219195912,my_population,Host,my_population_66,"","",True
53.20435219195912,my_population,Host,my_population_67,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_68,"","",True
53.20435219195912,my_population,Host,my_population_69,"","",True
53.20435219195912,my_population,Host,my_population_70,"","",True
53.20435219195912,my_population,Host,my_population_71,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_72,"","",True
53.20435219195912,my_population,Host,my_population_73,"","",True
53.20435219195912,my_population,Host,my_population_74,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_75,"","",True
53.20435219195912,my_population,Host,my_population_76,"","",True
53.20435219195912,my_population,Host,my_population_77,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_78,"","",True
53.20435219195912,my_population,Host,my_population_79,"","",True
53.20435219195912,my_population,Host,my_population_80,"","",True
53.20435219195912,my_population,Host,my_population_81,"","",True
53.20435219195912,my_population,Host,my_population_82,"","",True
53.20435219195912,my_population,Host,my_population_83,"","",True
53.20435219195912,my_population,Host,my_population_84,"","",True
53.20435219195912,my_population,Host,my_population_85,"","",True
53.20435219195912,my_population,Host,my_population_86,"","",True
53.20435219195912,my_population,Host,my_population_87,"","",True
53.20435219195912,my_population,Host,my_population_88,"","",True
53.20435219195912,my_population,Host,my_population_89,"","",True
53.20435219195912,my_population,Host,my_population_90,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_91,"","",True
53.20435219195912,my_population,Host,my_population_92,"","",True
53.20435219195912,my_population,Host,my_population_93,"","",True
53.20435219195912,my_population,Host,my_population_94,"","",True
53.20435219195912,my_population,Host,my_population_95,"","",True
53.20435219195912,my_population,Host,my_population_96,"","",True
53.20435219195912,my_population,Host,my_population_97,"","",True
53.20435219195912,my_population,Host,my_population_98,"","",True
53.20435219195912,my_population,Host,my_population_99,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_0,"","",True
131.91686467529226,my_population,Host,my_population_1,"","",True
131.91686467529226,my_population,Host,my_population_2,"","",True
131.91686467529226,my_population,Host,my_population_3,"","",True
131.91686467529226,my_population,Host,my_population_4,"","",True
131.91686467529226,my_population,Host,my_population_5,"","",True
131.91686467529226,my_population,Host,my_population_6,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_7,"","",True
131.91686467529226,my_population,Host,my_population_8,"","",True
131.91686467529226,my_population,Host,my_population_9,"","",True
131.91686467529226,my_population,Host,my_population_10,"","",True
131.91686467529226,my_population,Host,my_population_11,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_12,"","",True
131.91686467529226,my_population,Host,my_population_13,"","",True
131.91686467529226,my_population,Host,my_population_14,"","",True
131.91686467529226,my_population,Host,my_population_15,"","",True
131.91686467529226,my_population,Host,my_population_16,"","",True
131.91686467529226,my_population,Host,my_population_17,"","",True
131.91686467529226,my_population,Host,my_population_18,"","",True
131.91686467529226,my_population,Host,my_population_19,"","",True
131.91686467529226,my_population,Host,my_population_20,"","",True
131.91686467529226,my_population,Host,my_population_21,"","",True
131.91686467529226,my_population,Host,my_population_22,"","",True
131.91686467529226,my_population,Host,my_population_23,"","",True
131.91686467529226,my_population,Host,my_population_24,"","",True
131.91686467529226,my_population,Host,my_population_25,"","",True
131.91686467529226,my_population,Host,my_population_26,"","",True
131.91686467529226,my_population,Host,my_population_27,"","",True
131.91686467529226,my_population,Host,my_population_28,"","",True
131.91686467529226,my_population,Host,my_population_29,"","",True
131.91686467529226,my_population,Host,my_population_30,"","",True
131.91686467529226,my_population,Host,my_population_31,"","",True
131.91686467529226,my_population,Host,my_population_32,"","",True
131.91686467529226,my_population,Host,my_population_33,"","",True
131.91686467529226,my_population,Host,my_population_34,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_35,"","",True
131.91686467529226,my_population,Host,my_population_36,"","",True
131.91686467529226,my_population,Host,my_population_37,"","",True
131.91686467529226,my_population,Host,my_population_38,"","",True
131.91686467529226,my_population,Host,my_population_39,"","",True
131.91686467529226,my_population,Host,my_population_40,"","",True
131.91686467529226,my_population,Host,my_population_41,"","",True
131.91686467529226,my_population,Host,my_population_42,"","",True
131.91686467529226,my_population,Host,my_population_43,"","",True
131.91686467529226,my_population,Host,my_population_44,"","",True
131.91686467529226,my_population,Host,my_population_45,"","",True
131.91686467529226,my_population,Host,my_population_46,"","",True
131.91686467529226,my_population,Host,my_population_47,"","",True
131.91686467529226,my_population,Host,my_population_48,"","",True
131.91686467529226,my_population,Host,my_population_49,"","",True
131.91686467529226,my_population,Host,my_population_50,"","",True
131.91686467529226,my_population,Host,my_population_51,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_52,"","",True
131.91686467529226,my_population,Host,my_population_53,"","",True
131.91686467529226,my_population,Host,my_population_54,"","",True
131.91686467529226,my_population,Host,my_population_55,"","",True
131.91686467529226,my_population,Host,my_population_56,"","",True
131.91686467529226,my_population,Host,my_population_57,"","",True
131.91686467529226,my_population,Host,my_population_58,"","",True
131.91686467529226,my_population,Host,my_population_59,"","",True
131.91686467529226,my_population,Host,my_population_60,"","",True
131.91686467529226,my_population,Host,my_population_61,"","",True
131.91686467529226,my_population,Host,my_population_62,"","",True
131.91686467529226,my_population,Host,my_population_63,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_64,"","",True
131.91686467529226,my_population,Host,my_population_65,"","",True
131.91686467529226,my_population,Host,my_population_66,"","",True
131.91686467529226,my_population,Host,my_population_67,"","",True
131.91686467529226,my_population,Host,my_population_68,"","",True
131.91686467529226,my_population,Host,my_population_69,"","",True
131.91686467529226,my_population,Host,my_population_70,"","",True
131.91686467529226,my_population,Host,my_population_71,"","",True
131.91686467529226,my_population,Host,my_population_72,"","",True
131.91686467529226,my_population,Host,my_population_73,"","",True
131.91686467529226,my_population,Host,my_population_74,"","",True
131.91686467529226,my_population,Host,my_population_75,"","",True
131.91686467529226,my_population,Host,my_population_76,"","",True
131.91686467529226,my_population,Host,my_population_77,"","",True
131.91686467529226,my_population,Host,my_population_78,"","",True
131.91686467529226,my_population,Host,my_population_79,"","",True
131.91686467529226,my_population,Host,my_population_80,"","",True
131.91686467529226,my_population,Host,my_population_81,"","",True
131.91686467529226,my_population,Host,my_population_82,"","",True
131.91686467529226,my_population,Host,my_population_83,"","",True
131.91686467529226,my_population,Host,my_population_84,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_85,"","",True
131.91686467529226,my_population,Host,my_population_86,"","",True
131.91686467529226,my_population,Host,my_population_87,"","",True
131.91686467529226,my_population,Host,my_population_88,"","",True
131.91686467529226,my_population,Host,my_population_89,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_90,"","",True
131.91686467529226,my_population,Host,my_population_91,"","",True
131.91686467529226,my_population,Host,my_population_92,"BADD/BEST/BADD/BEST","",True
131.91686467529226,my_population,Host,my_population_93,"","",True
131.91686467529226,my_population,Host,my_population_94,"","",True
131.91686467529226,my_population,Host,my_population_95,"","",True
131.91686467529226,my_population,Host,my_population_96,"","",True
131.91686467529226,my_population,Host,my_population_97,"","",True
131.91686467529226,my_population,Host,my_population_98,"","",True
131.91686467529226,my_population,Host,my_population_99,"","",True
500,my_population,Host,my_population_0,"","",True
500,my_population,Host,my_population_1,"","",True
500,my_population,Host,my_population_2,"","",True
500,my_population,Host,my_population_3,"","",True
500,my_population,Host,my_population_4,"","",True
500,my_population,Host,my_population_5,"","",True
500,my_population,Host,my_population_6,"","",True
500,my_population,Host,my_population_7,"","",True
500,my_population,Host,my_population_8,"","",True
500,my_population,Host,my_population_9,"","",True
500,my_population,Host,my_population_10,"","",True
500,my_population,Host,my_population_11,"","",True
500,my_population,Host,my_population_12,"","",True
500,my_population,Host,my_population_13,"","",True
500,my_population,Host,my_population_14,"","",True
500,my_population,Host,my_population_15,"","",True
500,my_population,Host,my_population_16,"","",True
500,my_population,Host,my_population_17,"","",True
500,my_population,Host,my_population_18,"","",True
500,my_population,Host,my_population_19,"","",True
500,my_population,Host,my_population_20,"","",True
500,my_population,Host,my_population_21,"","",True
500,my_population,Host,my_population_22,"","",True
500,my_population,Host,my_population_23,"","",True
500,my_population,Host,my_population_24,"","",True
500,my_population,Host,my_population_25,"","",True
500,my_population,Host,my_population_26,"","",True
500,my_population,Host,my_population_27,"","",True
500,my_population,Host,my_population_28,"","",True
500,my_population,Host,my_population_29,"","",True
500,my_population,Host,my_population_30,"","",True
500,my_population,Host,my_population_31,"","",True
500,my_population,Host,my_population_32,"","",True
500,my_population,Host,my_population_33,"","",True
500,my_population,Host,my_population_34,"","",True
500,my_population,Host,my_population_35,"","",True
500,my_population,Host,my_population_36,"","",True
500,my_population,Host,my_population_37,"","",True
500,my_population,Host,my_population_38,"","",True
500,my_population,Host,my_population_39,"","",True
500,my_population,Host,my_population_40,"","",True
500,my_population,Host,my_population_41,"","",True
500,my_population,Host,my_population_42,"","",True
500,my_population,Host,my_population_43,"","",True
500,my_population,Host,my_population_44,"","",True
500,my_population,Host,my_population_45,"","",True
500,my_population,Host,my_population_46,"","",True
500,my_population,Host,my_population_47,"","",True
500,my_population,Host,my_population_48,"","",True
500,my_population,Host,my_population_49,"","",True
